task_order,num_stim,match,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,exp_zero_back_text.started,exp_zero_back_text.stopped,exp_one_back_text.started,exp_one_back_text.stopped,exp_two_back_text.started,exp_two_back_text.stopped,exp_instructions_resp.keys,exp_instructions_resp.rt,exp_instructions_resp.started,exp_instructions_resp.stopped,num_stim_text.started,num_stim_text.stopped,num_stim_resp.keys,num_stim_resp.corr,num_stim_resp.started,num_stim_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.217884199984837,None,space,4.230194099975051,8.217884199984837,None,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,7,None,0,0,0,0,0,0,0,0,,,,,,,12.499661599984393,None,12.499661599984393,None,12.499661599984393,None,space,3.4717510000045877,12.499661599984393,None,15.991206899983808,None,None,1,15.991206899983808,None,16.485178200004157,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,1,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,18.990684699994745,None,None,1,18.990684699994745,None,19.484684399998514,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,8,None,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,21.99008039999171,None,None,1,21.99008039999171,None,22.491061299981084,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,5,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,24.98940729998867,None,None,1,24.98940729998867,None,25.489273399987724,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,9,None,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,27.98896019998938,None,None,1,27.98896019998938,None,28.489755199989304,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,2,None,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,30.99527419998776,None,None,1,30.99527419998776,None,31.496159200003603,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,7,None,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,33.99468869998236,None,None,1,33.99468869998236,None,34.488767999981064,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,0,None,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,36.994124799995916,None,None,1,36.994124799995916,None,37.48807520000264,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,2,None,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,39.99351439997554,None,None,1,39.99351439997554,None,40.48753169999691,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,4,None,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,42.99275899998611,None,None,1,42.99275899998611,None,43.48685529999784,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,7,None,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,45.99236699999892,None,None,1,45.99236699999892,None,46.48622389999218,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,6,None,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,48.99174409999978,None,None,1,48.99174409999978,None,49.48574549998739,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,1,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,51.99106109997956,None,None,1,51.99106109997956,None,52.49211120000109,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,5,None,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,54.9905600999773,None,None,1,54.9905600999773,None,55.48447219998343,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,2,None,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,57.99000009999145,None,None,1,57.99000009999145,None,58.48391129999072,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,6,None,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,60.98939619999146,None,None,1,60.98939619999146,None,61.490256399993086,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,2,['space'],0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,63.9887867999787,None,None,0,63.9887867999787,None,64.48975109998719,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,1,None,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,66.99509260000195,None,None,1,66.99509260000195,None,67.48918509998475,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,6,None,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,69.994601399987,None,None,1,69.994601399987,None,70.48844479999389,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,8,None,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,72.99402439998812,None,None,1,72.99402439998812,None,73.49494699999923,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back2,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,3,None,0,1,1,1,0,0,0,0,,,,,,,76.02917829999933,None,76.02917829999933,None,76.02917829999933,None,space,3.6246092000219505,76.02917829999933,None,79.68014290000428,None,None,1,79.68014290000428,None,80.1671115999925,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,2,None,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,82.67251129998476,None,None,1,82.67251129998476,None,83.17345179998665,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,85.67206019998412,None,None,1,85.67206019998412,None,86.16606389998924,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,88.6714731999964,None,None,1,88.6714731999964,None,89.17234289998305,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,3,None,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,91.67091359998449,None,None,1,91.67091359998449,None,92.1718459999829,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,3,None,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,94.67028779999237,None,None,1,94.67028779999237,None,95.17111399999703,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,97.67662610000116,None,None,1,97.67662610000116,None,98.17052409998723,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,2,None,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,100.67611549998401,None,None,1,100.67611549998401,None,101.17706029998953,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,9,None,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,103.67546030000085,None,None,1,103.67546030000085,None,104.16938599999412,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,9,None,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,106.67484979997971,None,None,1,106.67484979997971,None,107.16881499998271,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,4,None,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,109.67432269998244,None,None,1,109.67432269998244,None,110.16831369997817,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,8,None,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,112.67374099997687,None,None,1,112.67374099997687,None,113.17462899998645,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,8,None,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,115.67301899997983,None,None,1,115.67301899997983,None,116.17302999997628,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,4,None,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,118.67256669999915,None,None,1,118.67256669999915,None,119.17347979999613,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,2,None,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,121.67197619998478,None,None,1,121.67197619998478,None,122.17274809998344,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,124.67134519998217,None,None,1,124.67134519998217,None,125.17226469999878,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,5,None,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,127.67076619999716,None,None,1,127.67076619999716,None,128.1646976999764,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,,,130.67001249999157,None,None,1,130.67001249999157,None,131.1780841999862,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,,,133.67658259999007,None,None,1,133.67658259999007,None,134.17053589998977,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,136.67591869999887,None,None,1,136.67591869999887,None,137.16995359997964,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
