stim_time,inter_stim_time,x_pos,y_pos,match,corr_key
0.017,2,0,0,0,left
0.029,1,0,0,0,left
0.017,3,0,0,1,right
0.029,2,0,0,1,right
0.029,2,0,0,1,right
0.05,3,0,0,1,right
0.017,1,0,0,1,right
0.017,3,0,0,0,left
0.017,1,0,0,0,left
0.05,3,0,0,0,left
0.017,3,0,0,1,right
0.017,1,0,0,0,left
0.017,3,0,0,0,left
0.05,1,0,0,0,left
0.05,2,0,0,0,left
0.017,2,0,0,1,right
0.017,3,0,0,1,right
0.029,3,0,0,0,left
0.029,1,0,0,0,left
0.017,1,0,0,0,left
0.05,1,0,0,1,right
0.017,3,0,0,0,left
0.017,1,0,0,0,left
0.05,3,0,0,1,right
0.05,3,0,0,1,right
0.017,1,0,0,0,left
0.05,2,0,0,1,right
0.029,1,0,0,1,right
0.029,2,0,0,1,right
0.05,1,0,0,0,left
