task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.843171300017275,None,space,0.2767537999898195,10.843171300017275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,11.153535199991893,None,11.153535199991893,None,space,0.3994642999896314,11.153535199991893,None,11.566152999992482,None,13.56613049999578,None,13.586900800000876,None,13.691031879992806,None,-0.10277778,0.12222222,0,0,0,0.001290640007937327,None,14.137872499995865,None,15.621141180003178,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,3,-0.25,0.25,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,16.140492600010475,None,19.14139490001253,None,19.162088800017955,None,19.266391880009905,None,-0.10277778,0.12222222,0,0,0,6.57399941701442e-05,None,19.707473200018285,None,21.19652288001089,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,2,0.25,0.25,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,21.711072200007038,None,23.716838599997573,None,23.772298500000034,None,23.876535980016342,None,-0.10277778,0.12222222,0,0,0,0.005822920007631183,None,24.318894099997124,None,25.80672738001158,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,3,-0.25,-0.25,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,26.320008600014262,None,29.31991759999073,None,29.354569999995874,None,29.45877548000135,None,-0.10277778,0.12222222,0,0,0,0.0013056400348432362,None,29.898483800003305,None,31.388960180003778,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,31.901908400002867,None,33.90231550001772,None,33.92320130000007,None,34.02732157999708,None,-0.10277778,0.12222222,0,0,0,0.006813220010371879,None,34.46860700001707,None,35.95753388000594,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,0.0,0.0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,36.4705510000058,None,38.47092600000906,None,38.49170579999918,None,38.59576248000667,None,-0.10277778,0.12222222,0,0,0,0.00675661998684518,None,39.03727590001654,None,40.526088480008184,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,41.040705499995966,None,43.046477399999276,None,43.06723200000124,None,43.17126628001279,None,-0.10277778,0.12222222,0,0,0,0.002023439999902621,None,43.6173875000095,None,45.10148637999373,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,0.25,-0.25,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,45.62110109999776,None,47.62197740000556,None,47.65653549999115,None,47.76075167999079,None,-0.10277778,0.12222222,0,0,0,0.0015800399996805936,None,48.20729389999178,None,49.69095848001598,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,50.21074020001106,None,52.211264500016114,None,52.245986599999014,None,52.3501423800044,None,-0.10277778,0.12222222,0,0,0,0.0008367400150746107,None,52.797916700015776,None,54.280347879990586,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,1,-0.25,-0.25,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,54.80088520000572,None,55.80090210001799,None,55.8355577000184,None,55.939670979991206,None,-0.10277778,0.12222222,0,0,0,0.0005095399683341384,None,56.38769540001522,None,57.869895680007176,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,1,-0.25,0.25,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,58.379183700017165,None,59.38351410001633,None,59.41817250000895,None,59.52235338000173,None,-0.10277778,0.12222222,0,0,0,0.0026739400054793805,None,59.96760249999352,None,61.45252998000069,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,3,0.25,0.25,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,61.970022299996344,None,64.97260070001357,None,65.0073010000051,None,65.11148638000304,None,-0.10277778,0.12222222,0,0,0,0.0023850400175433606,None,65.55716799999936,None,67.04172858000675,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,0.25,-0.25,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,67.56183769999188,None,69.56200360000366,None,69.58282370000961,None,69.6869861800078,None,-0.10277778,0.12222222,0,0,0,0.0063886200077831745,None,70.1285693999962,None,71.61720868000702,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,0.0,0.0,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,72.13035079999827,None,73.13084920000983,None,73.15162389999023,None,73.25580408000678,None,-0.10277778,0.12222222,0,0,0,0.006294819962931797,None,73.69720409999718,None,75.18589547999727,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,75.69860880001215,None,77.6993908000004,None,77.72012479999103,None,77.82431127999735,None,-0.10277778,0.12222222,0,0,0,0.005358920025173575,None,78.26745959999971,None,79.75447587999224,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,1,0.25,-0.25,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,80.27003960000002,None,81.27507480001077,None,81.33055820001755,None,81.43471817999671,None,-0.10277778,0.12222222,0,0,0,0.005813619965920225,None,81.8768292000168,None,83.36489208000421,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,0.0,0.0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,83.88074310001684,None,84.88544000001275,None,84.9061842999945,None,85.01039327999752,None,-0.10277778,0.12222222,0,0,0,0.0014111399941612035,None,85.45727760001319,None,86.94057297999097,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,87.45931830001064,None,89.46089029998984,None,89.49562130001141,None,89.59978237999894,None,-0.10277778,0.12222222,0,0,0,0.0008457399671897292,None,90.04648680001264,None,91.52997417999723,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,0.25,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,92.05008109999471,None,94.0503078000038,None,94.07107720000204,None,94.17530777999491,None,-0.10277778,0.12222222,0,0,0,0.006471019994933158,None,94.61687410000013,None,96.10545618001197,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,2,0.0,0.0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,96.61899819999235,None,98.61876199999824,None,98.67420760000823,None,98.7784676799929,None,-0.10277778,0.12222222,0,0,0,0.000589740026043728,None,99.21898070001043,None,100.70873987999221,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,-0.25,0.25,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,101.21971770000528,None,102.22236179999891,None,102.24321509999572,None,102.34718368000176,None,-0.10277778,0.12222222,0,0,0,0.006090619979659095,None,102.78916350001236,None,104.27747698001622,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,0.25,-0.25,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,104.79085720001603,None,106.79087299999082,None,106.81164210001589,None,106.91586188001384,None,-0.10277778,0.12222222,0,0,0,0.006851219979580492,None,107.35684789999505,None,108.84602588000416,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,3,-0.25,-0.25,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,109.35917260000133,None,112.35922089999076,None,112.41477329999907,None,112.51883547999023,None,-0.10277778,0.12222222,0,0,0,0.0011595399701036513,None,112.95857670000987,None,114.44910427999275,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,114.95994790000259,None,116.96248950000154,None,116.99717580000288,None,117.101236780014,None,-0.10277778,0.12222222,0,0,0,0.002406239975243807,None,117.54664250000496,None,119.03152157999284,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,3,0.25,0.25,0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,119.54994460000307,None,122.5516748999944,None,122.58635789999971,None,122.69057538000925,None,-0.10277778,0.12222222,0,0,0,0.001621239964151755,None,123.13729949999833,None,124.62056578001648,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,125.1394615000172,None,127.14106850000098,None,127.1618553000153,None,127.26603857999726,None,-0.10277778,0.12222222,0,0,0,0.006896120001329109,None,127.70702410000376,None,129.196192479998,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,-0.25,-0.25,1,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,129.71032040001592,None,130.70978480001213,None,130.73063350000302,None,130.83467687999655,None,-0.10277778,0.12222222,0,0,0,0.005492919968673959,None,131.27707889999147,None,132.76492418000998,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,0.0,0.0,0,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,133.27851380000357,None,134.27856269999756,None,134.29932580000605,None,134.40346288001456,None,-0.10277778,0.12222222,0,0,0,0.0043596399773377925,None,134.84767730001477,None,136.3336868799961,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,1,-0.25,0.25,1,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,136.85100140000577,None,137.85428230001708,None,137.87502539998968,None,137.9791787800059,None,-0.10277778,0.12222222,0,0,0,0.0014838399656582624,None,138.41870340000605,None,139.9093536799919,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,1,0.25,-0.25,0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,140.42052529999637,None,141.42308179999236,None,141.47848990000784,None,141.58254387999477,None,-0.10277778,0.12222222,0,0,0,0.003639639966422692,None,142.02714700001525,None,143.51287548000982,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
,,,,,,,,,,,,,,,,,,,,144.04762050000136,None,144.04762050000136,None,space,98.57174980000127,144.04762050000136,None,242.63498070000787,None,243.63912370000617,None,243.673701599997,None,243.7778159800073,None,-0.10277778,0.12222222,0,0,0,0.0012926399940624833,None,244.2183738000167,None,,,,,,,,,
